runnerUri,fullname,time,rank,nationality,nationalityCode,index,ageGroup,gender
32796.pascal.mauclere,Pascal MAUCLERE,24:17:39,1018,France,FR,,50-54,H
32819.maurice.lebreton,Maurice LEBRETON,24:17:40,1019,France,FR,,55-59,H
74887.pascal.pesnel,Pascal PESNEL,24:18:05,1020,France,FR,,40-44,H
22791.akemi.anjo,Akemi ANJO,24:22:28,1021,Japon,JP,,40-44,F
20038.patrick.reymond,Patrick REYMOND,24:22:31,1022,Suisse,CH,,55-59,H
42905.christa.rebstock,Christa REBSTOCK,24:22:50,1023,Allemagne,DE,,65-69,F
76353.lluis.carbonelltapiolas,Lluis CARBONELL-TAPIOLAS,24:23:23,1024,Espagne,ES,,35-39,H
76354.ivan.martynek,Ivan MARTYNEK,24:24:43,1025,Slovaquie,SK,,35-39,H
36639.norihiko.nakamura,Norihiko NAKAMURA,24:28:21,1026,Japon,JP,,40-44,H
660.cedric.letaille,Cédric LETAILLE,24:31:15,1027,France,FR,,35-39,H
49175.takeshi.kitagawa,Takeshi KITAGAWA,24:31:29,1028,Japon,JP,,40-44,H
4787.jim.magill,Jim MAGILL,24:39:11,1029,Etats-Unis,US,,60-64,H
19807.marc.hoste,Marc HOSTE,24:42:03,1030,Belgique,BE,,65-69,H
41429.louis.flohic,Louis FLOHIC,24:44:51,1031,France,FR,,55-59,H
76355.regis.feppon,Regis FEPPON,24:44:58,1032,France,FR,,35-39,H
49284.shin.takeda,Shin TAKEDA,24:50:13,1033,Japon,JP,,40-44,H
49162.jun.mitomi,Jun MITOMI,24:52:54,1034,Japon,JP,,35-39,H
6797.didier.dachet,Didier DACHET,24:55:51,1035,France,FR,,45-49,H
40110.nathalie.dachet,Nathalie DACHET,24:55:51,1036,France,FR,,40-44,F
6520.frederic.chamaillard,Frederic CHAMAILLARD,24:56:07,1037,France,FR,,45-49,H
6519.laurence.chamaillard,Laurence CHAMAILLARD,24:56:07,1038,France,FR,,45-49,F
76356.eric.mantel,Eric MANTEL,24:56:16,1039,France,FR,,40-44,H
40741.patrick.faille,Patrick FAILLE,24:56:17,1040,France,FR,,40-44,H
73825.stephane.lemaitre,Stephane LEMAITRE,24:56:17,1041,France,FR,,20-34,H
9780.jerome.pasini,Jerome PASINI,24:56:21,1042,France,FR,,45-49,H
76358.olivier.ricoul,Olivier RICOUL,24:56:42,1043,France,FR,,40-44,H
41024.jeanlouis.iughetti,Jean-Louis IUGHETTI,24:59:42,1044,France,FR,,50-54,H
76359.xavier.richomme,Xavier RICHOMME,24:59:42,1045,France,FR,,40-44,H
24233.michel.fava,Michel FAVA,25:03:46,1046,France,FR,,60-64,H
33171.dominique.fouquet,Dominique FOUQUET,25:03:47,1047,France,FR,,60-64,H
75806.fabio.palioff,Fabio PALIOFF,25:04:44,1048,Argentine,AR,,40-44,H
76360.mikiko.murata,Mikiko MURATA,25:04:45,1049,Japon,JP,,80+,F
73105.mami.kofuku,Mami KOFUKU,25:04:45,1050,Japon,JP,,45-49,F
74217.patricia.loffi,Patricia LOFFI,25:08:08,1051,France,FR,,45-49,F
45634.satoshi.funakoshi,Satoshi FUNAKOSHI,25:09:37,1052,Japon,JP,,35-39,H
40065.jeanpierre.lagar,Jean-Pierre LAGAR,25:10:44,1053,France,FR,,45-49,H
76361.bruno.gonzales,Bruno GONZALES,25:10:45,1054,France,FR,,80+,H
74232.patricia.gauthier,Patricia GAUTHIER,25:12:24,1055,France,FR,,50-54,F
45615.bernd.edelmann,Bernd EDELMANN,25:13:33,1056,Allemagne,DE,,45-49,H
49311.yuka.ikeda,Yuka IKEDA,25:20:53,1057,Japon,JP,,20-34,F
76362.ichiro.asakura,Ichiro ASAKURA,25:20:53,1058,Japon,JP,,45-49,H
39914.christophe.clair,Christophe CLAIR,25:21:37,1059,France,FR,,45-49,H
24836.laurent.rundstadler,Laurent RUNDSTADLER,25:21:42,1060,France,FR,,40-44,H
76363.yoichi.isonishi,Yoichi ISONISHI,25:30:12,1061,Japon,JP,,80+,H
76364.patrice.limousin,Patrice LIMOUSIN,25:33:31,1062,France,FR,,45-49,H
76365.claudine.laine,Claudine LAINE,25:33:31,1063,Belgique,BE,,35-39,F
69764.daniela.gianaroli,Daniela GIANAROLI,25:33:37,1064,Italie,IT,,60-64,F
73690.catherine.germain,Catherine GERMAIN,25:37:41,1065,France,FR,,45-49,F
41018.jeanmarc.sicard,Jean-Marc SICARD,25:37:43,1066,France,FR,,50-54,H
6583.vincent.moity,Vincent MOITY,25:37:43,1067,France,FR,,45-49,H
74510.thierry.merlen,Thierry MERLEN,25:38:04,1068,France,FR,,55-59,H
36904.kunitada.arai,Kunitada ARAI,25:38:22,1069,Japon,JP,,45-49,H
76366.corinne.peirano,Corinne PEIRANO,25:40:14,1070,France,FR,,45-49,F
72668.karim.oudina,Karim OUDINA,25:47:00,1071,France,FR,,20-34,H
